City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kolonia town,6.964,158.206,28.73,79,98,7.49,FM,1734636597
1,margaret river,-33.95,115.0667,12.53,86,0,5.11,AU,1734636599
2,galich,58.3797,42.3475,-13.0,88,97,4.02,RU,1734636600
3,solikamsk,59.6196,56.7729,-13.23,98,94,1.14,RU,1734636601
4,waitangi,-43.9535,-176.5597,15.46,99,100,7.15,NZ,1734636602
5,chonchi,-42.6128,-73.8092,14.33,69,96,4.05,CL,1734636603
6,adamstown,-25.066,-130.1015,21.27,61,5,3.26,PN,1734636604
7,kavaratti,10.5669,72.642,27.31,68,64,5.3,IN,1734636605
8,port alfred,-33.5906,26.891,19.54,98,44,2.24,ZA,1734636606
9,ushuaia,-54.8,-68.3,6.81,76,75,11.32,AR,1734636497
10,hami,42.8,93.45,-8.44,59,0,2.3,CN,1734636608
11,labuan,5.2767,115.2417,27.2,94,20,1.03,MY,1734636610
12,nova sintra,14.8667,-24.7167,24.55,74,100,4.22,CV,1734636612
13,bethel,41.3712,-73.414,5.85,61,75,5.14,US,1734636613
14,grytviken,-54.2811,-36.5092,4.47,82,64,8.01,GS,1734636614
15,usinsk,65.9939,57.5281,-19.15,98,99,2.86,RU,1734636615
16,port-aux-francais,-49.35,70.2167,4.81,84,100,5.96,TF,1734636616
17,sirsa,29.5333,75.0167,10.46,31,0,2.41,IN,1734636617
18,labrador city,52.9463,-66.9114,-11.57,66,75,8.49,CA,1734636618
19,tiksi,71.6872,128.8694,-25.7,98,62,3.72,RU,1734636619
20,puerto ayora,-0.7393,-90.3518,23.64,95,66,2.24,EC,1734636611
21,flin flon,54.7682,-101.865,-22.09,77,75,0.0,CA,1734636621
22,kapa'a,22.0752,-159.319,24.71,93,0,3.09,US,1734636562
23,georgetown,5.4112,100.3354,25.96,88,20,1.54,MY,1734636362
24,albany,42.6001,-73.9662,2.23,62,100,1.34,US,1734636347
25,pekalongan,-6.8886,109.6753,26.23,87,100,2.58,ID,1734636625
26,thompson,55.7435,-97.8558,-22.91,70,20,4.12,CA,1734636626
27,manokwari,-0.8667,134.0833,26.02,83,96,2.16,ID,1734636627
28,kambarka,56.2694,54.2062,-18.95,100,95,1.56,RU,1734636628
29,keflavik,64.0049,-22.5624,2.24,87,0,10.29,IS,1734636630
30,doctor alberto oviedo mota,32.2275,-115.1697,26.62,12,0,4.46,MX,1734636631
31,lihue,21.9789,-159.3672,24.3,94,0,3.09,US,1734636632
32,"laikit, laikit ii (dimembe)",1.4792,124.9735,26.47,83,40,1.54,ID,1734636633
33,gwoza,11.1036,13.713,18.18,37,10,2.51,NG,1734636634
34,cabo san lucas,22.8909,-109.9124,27.17,57,0,0.89,MX,1734636635
35,longyearbyen,78.2186,15.6401,-10.09,79,75,6.17,SJ,1734636636
36,sorong,-0.8833,131.25,28.02,79,30,4.66,ID,1734636637
37,kununurra,-15.7667,128.7333,26.99,78,12,4.12,AU,1734636638
38,ilha de mocambique,-15.0342,40.7358,27.48,83,0,5.06,MZ,1734636639
39,betio village,1.358,172.9211,29.02,80,100,8.41,KI,1734636640
40,yura,-16.2522,-71.6797,18.29,45,20,5.66,PE,1734636641
41,yellowknife,62.456,-114.3525,-30.88,88,0,1.54,CA,1734636642
42,la passe,45.5549,-0.8967,8.91,72,95,8.92,FR,1734636643
43,lebu,-37.6167,-73.65,15.96,70,100,5.66,CL,1734636644
44,midvagur,62.0511,-7.1939,1.46,75,75,0.51,FO,1734636645
45,kingston,17.997,-76.7936,30.09,74,20,3.6,JM,1734636646
46,blackmans bay,-43.0167,147.3167,10.07,93,52,2.88,AU,1734636647
47,papatowai,-46.5619,169.4708,11.45,98,100,5.01,NZ,1734636649
48,malvan,16.0667,73.4667,23.7,75,98,3.63,IN,1734636651
49,bredasdorp,-34.5322,20.0403,17.9,80,12,2.02,ZA,1734636652
50,ziebice,50.6012,17.0406,6.86,77,100,4.0,PL,1734636653
51,ancud,-41.8697,-73.8203,13.52,94,100,7.34,CL,1734636654
52,iqaluit,63.7506,-68.5145,-29.06,68,20,7.2,CA,1734636613
53,sovetskiy,61.3614,63.5842,-22.87,100,96,1.28,RU,1734636656
54,egilsstadir,65.2653,-14.3948,-8.05,86,75,2.57,IS,1734636657
55,middelkerke,51.1558,2.8418,7.01,78,75,9.26,BE,1734636658
56,dudinka,69.4058,86.1778,-11.24,94,100,7.22,RU,1734636659
57,zuni pueblo,35.0725,-108.8506,14.4,18,96,1.13,US,1734636660
58,mariental,-24.6333,17.9667,29.02,18,0,2.63,NA,1734636661
59,labytnangi,66.6572,66.4183,-16.79,97,100,1.12,RU,1734636662
60,stanley,54.868,-1.6985,2.51,82,0,5.14,GB,1734636664
61,fort st. john,56.2499,-120.8529,-22.06,84,100,3.09,CA,1734636666
62,centerton,36.3598,-94.2852,12.83,58,0,7.2,US,1734636667
63,cova figueira,14.8905,-24.2934,18.64,71,83,3.36,CV,1734636668
64,edinburgh of the seven seas,-37.0676,-12.3116,14.05,63,98,2.21,SH,1734636669
65,isafjordur,66.0755,-23.124,-4.72,78,100,2.84,IS,1734636670
66,hermanus,-34.4187,19.2345,20.45,81,3,2.88,ZA,1734636671
67,vanimo,-2.6741,141.3028,25.68,87,78,1.7,PG,1734636672
68,vredendal,-31.6683,18.5012,16.87,80,3,6.07,ZA,1734636673
69,touros,-5.1989,-35.4608,27.5,76,21,6.13,BR,1734636674
70,antofagasta,-23.65,-70.4,19.6,70,100,3.52,CL,1734636603
71,kendari,-3.945,122.4989,25.49,82,100,2.18,ID,1734636676
72,hawaiian paradise park,19.5933,-154.9731,27.16,83,0,2.06,US,1734636678
73,san rafael,-34.6177,-68.3301,32.54,23,75,5.7,AR,1734636620
74,mudanjiang,44.5833,129.6,-14.83,95,100,1.85,CN,1734636680
75,san ignacio,17.1561,-89.0714,27.08,83,75,2.06,BZ,1734636681
76,ust-nera,64.5667,143.2,-30.56,100,98,0.95,RU,1734636683
77,cabanas,22.9758,-82.9219,26.15,74,39,4.54,CU,1734636685
78,kodiak,57.79,-152.4072,3.73,87,100,14.92,US,1734636687
79,mugia,43.1041,-9.2179,12.42,59,44,6.52,ES,1734636688
80,hun,29.1268,15.9477,13.63,40,0,2.58,LY,1734636689
81,changping,40.2186,116.2197,-2.67,37,7,2.13,CN,1734636690
82,khatra,22.9833,86.85,16.67,43,99,1.37,IN,1734636691
83,carnarvon,-24.8667,113.6333,25.44,71,1,9.48,AU,1734636692
84,sinan,34.8262,126.1086,4.17,58,100,3.29,KR,1734636694
85,almodovar,37.4959,-8.0937,10.79,96,38,2.7,PT,1734636695
86,hulan,45.9833,126.6,-16.83,90,100,2.36,CN,1734636696
87,juuka,63.2333,29.25,-3.13,96,100,4.05,FI,1734636697
88,qaqortoq,60.7167,-46.0333,-3.75,72,100,7.01,GL,1734636698
89,zeya,53.75,127.2667,-23.74,93,15,1.67,RU,1734636699
90,oum hadjer,13.2954,19.6966,23.0,21,79,4.53,TD,1734636700
91,puerto natales,-51.7236,-72.4875,8.25,76,75,9.77,CL,1734636670
92,amursk,50.2261,136.8994,-23.89,99,98,0.8,RU,1734636702
93,constantia,44.1833,28.65,5.39,80,0,4.58,RO,1734636703
94,invercargill,-46.4,168.35,13.34,89,100,4.47,NZ,1734636705
95,punta arenas,-53.15,-70.9167,10.06,50,75,16.46,CL,1734636429
96,tolanaro,-25.0319,46.9987,26.04,83,0,7.2,MG,1734636707
97,jamestown,42.097,-79.2353,-0.55,78,100,2.57,US,1734636516
98,vorgashor,67.5833,63.95,-21.58,95,88,2.08,RU,1734636709
99,quellon,-43.1167,-73.6167,12.98,74,57,6.03,CL,1734636670
100,okhotsk,59.3833,143.3,-19.99,84,42,6.33,RU,1734636711
101,sumbuya,7.6467,-11.9611,24.97,73,84,2.11,SL,1734636712
102,broome,42.2506,-75.833,0.39,74,100,3.09,US,1734636713
103,fortuna,40.5982,-124.1573,16.07,88,0,3.09,US,1734636714
104,bubaque,11.2833,-15.8333,26.32,57,75,4.36,GW,1734636715
105,repalle,16.0167,80.85,24.45,87,100,5.15,IN,1734636716
106,ghadamis,30.1337,9.5007,11.78,45,0,3.22,LY,1734636717
107,west island,-12.1568,96.8225,26.99,83,100,5.66,CC,1734636719
108,menongue,-14.6585,17.691,22.27,62,90,1.86,AO,1734636720
109,bilibino,68.0546,166.4372,-26.69,87,6,1.67,RU,1734636721
110,atafu village,-8.5421,-172.5159,27.68,81,100,8.46,TK,1734636722
111,malango,-2.9627,119.9001,19.34,96,99,1.72,ID,1734636723
112,obuase,6.206,-1.6619,24.79,41,10,1.04,GH,1734636724
113,brokopondo,4.75,-55.1667,26.62,85,49,3.42,SR,1734636725
114,hithadhoo,-0.6,73.0833,27.62,80,14,9.6,MV,1734636726
115,iskateley,67.6803,53.1512,-22.13,93,85,3.28,RU,1734636728
116,akureyri,65.6835,-18.0878,-6.04,73,100,1.03,IS,1734636729
117,usogorsk,63.4106,48.6872,-23.69,100,95,1.46,RU,1734636730
118,port mathurin,-19.6833,63.4167,25.2,73,84,7.1,MU,1734636731
119,kirakira,-10.4544,161.9205,28.17,84,99,3.59,SB,1734636732
120,saipan,15.1355,145.701,27.39,88,0,2.57,MP,1734636733
121,dryden,49.7833,-92.7503,-16.84,78,75,1.54,CA,1734636734
122,taoudenni,22.6783,-3.9836,17.7,24,0,4.94,ML,1734636735
123,sisimiut,66.9395,-53.6735,-12.67,87,100,4.65,GL,1734636736
124,kapit,2.0167,112.9333,23.29,100,100,0.47,MY,1734636737
125,ilulissat,69.2167,-51.1,-12.99,72,20,8.75,GL,1734636738
126,mossel bay,-34.1831,22.146,19.96,87,59,4.51,ZA,1734636740
127,tarhuna,32.435,13.6332,10.8,44,2,6.24,LY,1734636741
128,hastings,50.8552,0.5729,5.44,44,6,8.03,GB,1734636743
129,la plata,-34.9215,-57.9545,27.29,47,11,5.1,AR,1734636549
130,shahin dezh,36.6793,46.5669,0.5,61,1,1.94,IR,1734636745
131,malone,44.8487,-74.2949,-6.03,71,100,3.21,US,1734636746
132,kas,36.2018,29.6377,14.59,76,100,2.5,TR,1734636747
133,bardai,11.65,7.2333,15.73,29,1,4.19,NG,1734636748
134,uturoa,-16.7333,-151.4333,26.82,76,94,4.7,PF,1734636749
135,susuman,62.7833,148.1667,-25.23,98,100,1.63,RU,1734636750
136,sydney mines,46.2367,-60.2177,3.76,97,75,2.57,CA,1734636751
137,kerikeri,-35.2268,173.9474,16.62,92,26,0.89,NZ,1734636752
138,solhan,38.9634,41.0293,-3.52,75,0,2.15,TR,1734636753
139,tara,56.8944,74.371,-2.98,88,100,5.71,RU,1734636754
140,ambovombe,-25.1667,46.0833,23.8,92,96,1.87,MG,1734636755
141,trincomalee,8.5711,81.2335,25.83,87,100,4.53,LK,1734636715
142,millerovo,48.9226,40.3967,-0.83,94,100,5.16,RU,1734636757
143,axim,4.8699,-2.2405,26.78,83,6,3.03,GH,1734636758
144,port augusta,-32.5,137.7667,22.43,51,22,3.75,AU,1734636759
145,wynyard,-41.0,145.7167,14.55,94,92,4.47,AU,1734636761
146,bodaybo,57.8506,114.1933,-21.25,98,100,0.5,RU,1734636762
147,geraldton,-28.7667,114.6,17.23,82,0,3.6,AU,1734636763
148,bim son,20.0781,105.8603,15.16,73,21,1.24,VN,1734636764
149,ta`u,-14.2336,-169.5144,27.48,77,100,7.2,AS,1734636765
150,castillos,-34.1667,-53.8333,21.38,83,100,3.25,UY,1734636766
151,dahab,28.501,34.5134,20.07,58,0,3.4,EG,1734636767
152,whitehorse,60.7161,-135.0538,-18.57,70,100,9.26,CA,1734636768
153,misratah,32.3754,15.0925,14.83,48,0,5.3,LY,1734636769
154,ribeira grande,38.5167,-28.7,15.22,72,20,5.66,PT,1734636770
155,vilyuchinsk,52.9306,158.4028,-8.85,83,100,3.6,RU,1734636771
156,eastham,41.8301,-69.9739,7.21,75,100,5.36,US,1734636772
157,alamogordo,32.8995,-105.9603,19.48,28,0,1.54,US,1734636643
158,mccook,40.2019,-100.6257,14.03,19,0,13.89,US,1734636774
159,codrington,-38.2667,141.9667,16.59,50,0,3.64,AU,1734636776
160,udachny,66.4167,112.4,-19.58,91,100,2.32,RU,1734636777
161,hasaki,35.7333,140.8333,5.88,43,0,2.29,JP,1734636778
162,holualoa,19.6228,-155.9522,26.02,73,0,2.57,US,1734636779
163,kibondo,-3.5864,30.7203,15.47,95,16,0.56,TZ,1734636780
164,bailesti,44.0167,23.35,7.04,72,0,2.11,RO,1734636781
165,acarau,-2.8856,-40.12,27.92,74,6,8.65,BR,1734636782
166,nago,26.5881,127.9761,15.65,67,87,2.48,JP,1734636783
167,piti village,13.4626,144.6933,25.73,92,100,1.54,GU,1734636784
168,hammerfest,70.6634,23.6821,-11.75,79,0,1.54,NO,1734636785
169,ponta delgada,37.7333,-25.6667,15.4,77,75,4.63,PT,1734636786
